variant,population,feature,n,mean_abs_SHAP_log_odds,mean_signed_SHAP_log_odds
V2,sim_benign_TN,flow.packet_count,213,0.0,0.0
V2,sim_benign_TN,flow.duration_s,213,0.0,0.0
V2,sim_benign_TN,flow.pps,213,5.358565807342529,-5.358565807342529
V2,sim_benign_TN,flow.iat_s_mean,213,0.0,0.0
V2,sim_benign_TN,flow.iat_s_min,213,0.0,0.0
V2,sim_benign_TN,flow.iat_s_max,213,0.0,0.0
V2,sim_benign_TN,flow.psh_count,213,0.0,0.0
V2,sim_benign_TN,flow.urg_count,213,0.0,0.0
V2,sim_benign_TN,flow.rst_count,213,0.0,0.0
V2,sim_benign_TN,mask:flow.packet_count,213,0.0,0.0
V2,sim_benign_TN,mask:flow.duration_s,213,0.0,0.0
V2,sim_benign_TN,mask:flow.pps,213,0.0,0.0
V2,sim_benign_TN,mask:flow.iat_s_mean,213,0.0,0.0
V2,sim_benign_TN,mask:flow.iat_s_min,213,0.0,0.0
V2,sim_benign_TN,mask:flow.iat_s_max,213,0.0,0.0
V2,sim_benign_TN,mask:flow.psh_count,213,0.0,0.0
V2,sim_benign_TN,mask:flow.urg_count,213,0.0,0.0
V2,sim_benign_TN,mask:flow.rst_count,213,0.0,0.0
V2,sim_benign_TN,latent_0,213,0.0,0.0
V2,sim_benign_TN,latent_1,213,0.0,0.0
V2,sim_benign_TN,latent_2,213,0.0,0.0
V2,sim_benign_TN,latent_3,213,0.0,0.0
V2,sim_benign_TN,latent_4,213,0.0,0.0
V2,sim_benign_TN,latent_5,213,0.0,0.0
V2,sim_benign_TN,latent_6,213,0.0,0.0
V2,sim_benign_TN,latent_7,213,0.0,0.0
V2,sim_benign_TN,latent_8,213,0.0,0.0
V2,sim_benign_TN,latent_9,213,0.0,0.0
V2,sim_benign_TN,latent_10,213,0.0,0.0
V2,sim_benign_TN,latent_11,213,0.0,0.0
V2,sim_benign_TN,latent_12,213,0.0,0.0
V2,sim_benign_TN,latent_13,213,0.0,0.0
V2,sim_benign_TN,latent_14,213,0.0,0.0
V2,sim_benign_TN,latent_15,213,0.0,0.0
V2,sim_benign_TN,latent_16,213,0.0,0.0
V2,sim_benign_TN,latent_17,213,0.0,0.0
V2,sim_benign_TN,latent_18,213,0.0,0.0
V2,sim_benign_TN,latent_19,213,0.0,0.0
V2,sim_benign_TN,latent_20,213,0.0,0.0
V2,sim_benign_TN,latent_21,213,0.0,0.0
V2,sim_benign_TN,latent_22,213,0.0,0.0
V2,sim_benign_TN,latent_23,213,0.0,0.0
V2,sim_benign_TN,latent_24,213,0.0,0.0
V2,sim_benign_TN,latent_25,213,0.0,0.0
V2,sim_benign_TN,latent_26,213,0.0,0.0
V2,sim_benign_TN,latent_27,213,0.0,0.0
V2,sim_benign_TN,latent_28,213,0.0,0.0
V2,sim_benign_TN,latent_29,213,0.0,0.0
V2,sim_benign_TN,latent_30,213,0.0,0.0
V2,sim_benign_TN,latent_31,213,0.0,0.0
V2,sim_benign_TN,energy,213,0.0,0.0
V2,sim_benign_TN,ae_error,213,0.0,0.0
V2,sim_benign_TN,iforest,213,0.0,0.0
V2,sim_benign_TN,prototype_distance,213,0.0,0.0
V2,sim_DDoS_TP,flow.packet_count,179,0.0,0.0
V2,sim_DDoS_TP,flow.duration_s,179,0.0,0.0
V2,sim_DDoS_TP,flow.pps,179,5.358567237854004,5.358567237854004
V2,sim_DDoS_TP,flow.iat_s_mean,179,0.0,0.0
V2,sim_DDoS_TP,flow.iat_s_min,179,0.0,0.0
V2,sim_DDoS_TP,flow.iat_s_max,179,0.0,0.0
V2,sim_DDoS_TP,flow.psh_count,179,0.0,0.0
V2,sim_DDoS_TP,flow.urg_count,179,0.0,0.0
V2,sim_DDoS_TP,flow.rst_count,179,0.0,0.0
V2,sim_DDoS_TP,mask:flow.packet_count,179,0.0,0.0
V2,sim_DDoS_TP,mask:flow.duration_s,179,0.0,0.0
V2,sim_DDoS_TP,mask:flow.pps,179,0.0,0.0
V2,sim_DDoS_TP,mask:flow.iat_s_mean,179,0.0,0.0
V2,sim_DDoS_TP,mask:flow.iat_s_min,179,0.0,0.0
V2,sim_DDoS_TP,mask:flow.iat_s_max,179,0.0,0.0
V2,sim_DDoS_TP,mask:flow.psh_count,179,0.0,0.0
V2,sim_DDoS_TP,mask:flow.urg_count,179,0.0,0.0
V2,sim_DDoS_TP,mask:flow.rst_count,179,0.0,0.0
V2,sim_DDoS_TP,latent_0,179,0.0,0.0
V2,sim_DDoS_TP,latent_1,179,0.0,0.0
V2,sim_DDoS_TP,latent_2,179,0.0,0.0
V2,sim_DDoS_TP,latent_3,179,0.0,0.0
V2,sim_DDoS_TP,latent_4,179,0.0,0.0
V2,sim_DDoS_TP,latent_5,179,0.0,0.0
V2,sim_DDoS_TP,latent_6,179,0.0,0.0
V2,sim_DDoS_TP,latent_7,179,0.0,0.0
V2,sim_DDoS_TP,latent_8,179,0.0,0.0
V2,sim_DDoS_TP,latent_9,179,0.0,0.0
V2,sim_DDoS_TP,latent_10,179,0.0,0.0
V2,sim_DDoS_TP,latent_11,179,0.0,0.0
V2,sim_DDoS_TP,latent_12,179,0.0,0.0
V2,sim_DDoS_TP,latent_13,179,0.0,0.0
V2,sim_DDoS_TP,latent_14,179,0.0,0.0
V2,sim_DDoS_TP,latent_15,179,0.0,0.0
V2,sim_DDoS_TP,latent_16,179,0.0,0.0
V2,sim_DDoS_TP,latent_17,179,0.0,0.0
V2,sim_DDoS_TP,latent_18,179,0.0,0.0
V2,sim_DDoS_TP,latent_19,179,0.0,0.0
V2,sim_DDoS_TP,latent_20,179,0.0,0.0
V2,sim_DDoS_TP,latent_21,179,0.0,0.0
V2,sim_DDoS_TP,latent_22,179,0.0,0.0
V2,sim_DDoS_TP,latent_23,179,0.0,0.0
V2,sim_DDoS_TP,latent_24,179,0.0,0.0
V2,sim_DDoS_TP,latent_25,179,0.0,0.0
V2,sim_DDoS_TP,latent_26,179,0.0,0.0
V2,sim_DDoS_TP,latent_27,179,0.0,0.0
V2,sim_DDoS_TP,latent_28,179,0.0,0.0
V2,sim_DDoS_TP,latent_29,179,0.0,0.0
V2,sim_DDoS_TP,latent_30,179,0.0,0.0
V2,sim_DDoS_TP,latent_31,179,0.0,0.0
V2,sim_DDoS_TP,energy,179,0.0,0.0
V2,sim_DDoS_TP,ae_error,179,0.0,0.0
V2,sim_DDoS_TP,iforest,179,0.0,0.0
V2,sim_DDoS_TP,prototype_distance,179,0.0,0.0
V2,CICIDS_benign_TN,flow.packet_count,150000,0.0,0.0
V2,CICIDS_benign_TN,flow.duration_s,150000,0.0,0.0
V2,CICIDS_benign_TN,flow.pps,150000,5.358566761016846,0.1831212192773819
V2,CICIDS_benign_TN,flow.iat_s_mean,150000,0.0,0.0
V2,CICIDS_benign_TN,flow.iat_s_min,150000,0.0,0.0
V2,CICIDS_benign_TN,flow.iat_s_max,150000,0.0,0.0
V2,CICIDS_benign_TN,flow.psh_count,150000,0.0,0.0
V2,CICIDS_benign_TN,flow.urg_count,150000,0.0,0.0
V2,CICIDS_benign_TN,flow.rst_count,150000,0.0,0.0
V2,CICIDS_benign_TN,mask:flow.packet_count,150000,0.0,0.0
V2,CICIDS_benign_TN,mask:flow.duration_s,150000,0.0,0.0
V2,CICIDS_benign_TN,mask:flow.pps,150000,0.0,0.0
V2,CICIDS_benign_TN,mask:flow.iat_s_mean,150000,0.0,0.0
V2,CICIDS_benign_TN,mask:flow.iat_s_min,150000,0.0,0.0
V2,CICIDS_benign_TN,mask:flow.iat_s_max,150000,0.0,0.0
V2,CICIDS_benign_TN,mask:flow.psh_count,150000,0.0,0.0
V2,CICIDS_benign_TN,mask:flow.urg_count,150000,0.0,0.0
V2,CICIDS_benign_TN,mask:flow.rst_count,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_0,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_1,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_2,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_3,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_4,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_5,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_6,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_7,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_8,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_9,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_10,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_11,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_12,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_13,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_14,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_15,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_16,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_17,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_18,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_19,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_20,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_21,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_22,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_23,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_24,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_25,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_26,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_27,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_28,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_29,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_30,150000,0.0,0.0
V2,CICIDS_benign_TN,latent_31,150000,0.0,0.0
V2,CICIDS_benign_TN,energy,150000,0.0,0.0
V2,CICIDS_benign_TN,ae_error,150000,0.0,0.0
V2,CICIDS_benign_TN,iforest,150000,0.0,0.0
V2,CICIDS_benign_TN,prototype_distance,150000,0.0,0.0
V2,CICIDS_DDoS_FN,flow.packet_count,92749,0.0,0.0
V2,CICIDS_DDoS_FN,flow.duration_s,92749,0.0,0.0
V2,CICIDS_DDoS_FN,flow.pps,92749,5.358565330505371,-5.358565330505371
V2,CICIDS_DDoS_FN,flow.iat_s_mean,92749,0.0,0.0
V2,CICIDS_DDoS_FN,flow.iat_s_min,92749,0.0,0.0
V2,CICIDS_DDoS_FN,flow.iat_s_max,92749,0.0,0.0
V2,CICIDS_DDoS_FN,flow.psh_count,92749,0.0,0.0
V2,CICIDS_DDoS_FN,flow.urg_count,92749,0.0,0.0
V2,CICIDS_DDoS_FN,flow.rst_count,92749,0.0,0.0
V2,CICIDS_DDoS_FN,mask:flow.packet_count,92749,0.0,0.0
V2,CICIDS_DDoS_FN,mask:flow.duration_s,92749,0.0,0.0
V2,CICIDS_DDoS_FN,mask:flow.pps,92749,0.0,0.0
